label,tag,final_embedding
Style Name - [ shoes ],Ballet,
Style Name - [ shoes ],Moccasin,
Style Name - [ shoes ],Stiletto,
Style Name - [ shoes ],Wedges,
Style Name - [ shoes ],Walking,
Style Name - [ shoes ],Pumps,
Style Name - [ shoes ],Sneaker,
Style Name - [ shoes ],Flat,
Style Name - [ shoes ],Wingtip,
Style Name - [ shoes ],Low-Top,
Style Name - [ shoes ],High-Top,
Colour Map - [ shoes ],Beige,
Colour Map - [ shoes ],Black,
Colour Map - [ shoes ],Blue,
Colour Map - [ shoes ],Bronze,
Colour Map - [ shoes ],Brown,
Colour Map - [ shoes ],Clear,
Colour Map - [ shoes ],Gold,
Colour Map - [ shoes ],Green,
Colour Map - [ shoes ],Grey,
Colour Map - [ shoes ],Metallic,
Colour Map - [ shoes ],Multi,
Colour Map - [ shoes ],Multicolor,
Colour Map - [ shoes ],Off White,
Colour Map - [ shoes ],Orange,
Colour Map - [ shoes ],Pink,
Colour Map - [ shoes ],Purple,
Colour Map - [ shoes ],Red,
Colour Map - [ shoes ],Silver,
Colour Map - [ shoes ],Turquoise,
Colour Map - [ shoes ],White,
Colour Map - [ shoes ],Yellow,
Product Lifecycle Supply Type - [ shoes ],Perennial,
Product Lifecycle Supply Type - [ shoes ],Year Round Replenishable,
Product Lifecycle Supply Type - [ shoes ],Seasonal Basic,
Product Lifecycle Supply Type - [ shoes ],Fashion,
Shoe Height Map - [ shoes ],Mid Top,
Shoe Height Map - [ shoes ],High Top,
Shoe Height Map - [ shoes ],Low Top,
Unit Count Type - [ shoes ],Meters,
Unit Count Type - [ shoes ],Pouch,
Unit Count Type - [ shoes ],Grams,
Unit Count Type - [ shoes ],Liters,
Unit Count Type - [ shoes ],Milliliters,
Unit Count Type - [ shoes ],Set,
Unit Count Type - [ shoes ],Kilograms,
Unit Count Type - [ shoes ],Count,
Unit Count Type - [ shoes ],Square Meters,
Unit Count Type - [ shoes ],Case,
Unit Count Type - [ shoes ],Feet,
Unit Count Type - [ shoes ],Can,
Unit Count Type - [ shoes ],Pounds,
Unit Count Type - [ shoes ],Piece,
Unit Count Type - [ shoes ],Ounce,
Unit Count Type - [ shoes ],Pint,
Unit Count Type - [ shoes ],Pack,
Unit Count Type - [ shoes ],Square Feet,
Unit Count Type - [ shoes ],Fluid Ounces,
Country/Region Of Origin - [ shoes ],India,
Country/Region Of Origin - [ shoes ],China,
Country/Region Of Origin - [ shoes ],United States,
Country/Region Of Origin - [ shoes ],Afghanistan,
Country/Region Of Origin - [ shoes ],Aland Islands,
Country/Region Of Origin - [ shoes ],Albania,
Country/Region Of Origin - [ shoes ],Algeria,
Country/Region Of Origin - [ shoes ],American Samoa,
Country/Region Of Origin - [ shoes ],Andorra,
Country/Region Of Origin - [ shoes ],Angola,
Country/Region Of Origin - [ shoes ],Anguilla,
Country/Region Of Origin - [ shoes ],Antarctica,
Country/Region Of Origin - [ shoes ],Antigua And Barbuda,
Country/Region Of Origin - [ shoes ],Argentina,
Country/Region Of Origin - [ shoes ],Armenia,
Country/Region Of Origin - [ shoes ],Aruba,
Country/Region Of Origin - [ shoes ],Australia,
Country/Region Of Origin - [ shoes ],Austria,
Country/Region Of Origin - [ shoes ],Azerbaijan,
Country/Region Of Origin - [ shoes ],Bahamas,
Country/Region Of Origin - [ shoes ],Bahrain,
Country/Region Of Origin - [ shoes ],Bangladesh,
Country/Region Of Origin - [ shoes ],Barbados,
Country/Region Of Origin - [ shoes ],Belarus,
Country/Region Of Origin - [ shoes ],Belgium,
Country/Region Of Origin - [ shoes ],Belize,
Country/Region Of Origin - [ shoes ],Benin,
Country/Region Of Origin - [ shoes ],Bermuda,
Country/Region Of Origin - [ shoes ],Bhutan,
Country/Region Of Origin - [ shoes ],Bolivia,
Country/Region Of Origin - [ shoes ],Bosnia and Herzegovina,
Country/Region Of Origin - [ shoes ],Botswana,
Country/Region Of Origin - [ shoes ],Bouvet Island,
Country/Region Of Origin - [ shoes ],Brazil,
Country/Region Of Origin - [ shoes ],British Indian Ocean Territory,
Country/Region Of Origin - [ shoes ],British Virgin Islands,
Country/Region Of Origin - [ shoes ],Brunei,
Country/Region Of Origin - [ shoes ],Bulgaria,
Country/Region Of Origin - [ shoes ],Burkina Faso,
Country/Region Of Origin - [ shoes ],Burma (Myanmar),
Country/Region Of Origin - [ shoes ],Burundi,
Country/Region Of Origin - [ shoes ],Cambodia,
Country/Region Of Origin - [ shoes ],Cameroon,
Country/Region Of Origin - [ shoes ],Canada,
Country/Region Of Origin - [ shoes ],Cape Verde,
Country/Region Of Origin - [ shoes ],Cayman Islands,
Country/Region Of Origin - [ shoes ],Central African Republic,
Country/Region Of Origin - [ shoes ],Chad,
Country/Region Of Origin - [ shoes ],Chile,
Country/Region Of Origin - [ shoes ],Christmas Island,
Country/Region Of Origin - [ shoes ],Cocos (Keeling) Islands,
Country/Region Of Origin - [ shoes ],Colombia,
Country/Region Of Origin - [ shoes ],Comoros,
Country/Region Of Origin - [ shoes ],Cook Islands,
Country/Region Of Origin - [ shoes ],Costa Rica,
Country/Region Of Origin - [ shoes ],Croatia,
Country/Region Of Origin - [ shoes ],Cuba,
Country/Region Of Origin - [ shoes ],Cyprus,
Country/Region Of Origin - [ shoes ],Czech Republic,
Country/Region Of Origin - [ shoes ],Democratic Republic of the Congo,
Country/Region Of Origin - [ shoes ],Denmark,
Country/Region Of Origin - [ shoes ],Djibouti,
Country/Region Of Origin - [ shoes ],Dominica,
Country/Region Of Origin - [ shoes ],Dominican Republic,
Country/Region Of Origin - [ shoes ],Ecuador,
Country/Region Of Origin - [ shoes ],Egypt,
Country/Region Of Origin - [ shoes ],El Salvador,
Country/Region Of Origin - [ shoes ],Equatorial Guinea,
Country/Region Of Origin - [ shoes ],Eritrea,
Country/Region Of Origin - [ shoes ],Estonia,
Country/Region Of Origin - [ shoes ],Ethiopia,
Country/Region Of Origin - [ shoes ],Falkland Islands,
Country/Region Of Origin - [ shoes ],Faroe Islands,
Country/Region Of Origin - [ shoes ],Fiji,
Country/Region Of Origin - [ shoes ],Finland,
Country/Region Of Origin - [ shoes ],France,
Country/Region Of Origin - [ shoes ],French Guiana,
Country/Region Of Origin - [ shoes ],French Polynesia,
Country/Region Of Origin - [ shoes ],French Southern Territories,
Country/Region Of Origin - [ shoes ],Great Britain,
Country/Region Of Origin - [ shoes ],Gabon,
Country/Region Of Origin - [ shoes ],Gambia,
Country/Region Of Origin - [ shoes ],Georgia,
Country/Region Of Origin - [ shoes ],Germany,
Country/Region Of Origin - [ shoes ],Ghana,
Country/Region Of Origin - [ shoes ],Gibraltar,
Country/Region Of Origin - [ shoes ],Greece,
Country/Region Of Origin - [ shoes ],Greenland,
Country/Region Of Origin - [ shoes ],Grenada,
Country/Region Of Origin - [ shoes ],Guadeloupe,
Country/Region Of Origin - [ shoes ],Guam,
Country/Region Of Origin - [ shoes ],Guatemala,
Country/Region Of Origin - [ shoes ],Guernsey,
Country/Region Of Origin - [ shoes ],Guinea,
Country/Region Of Origin - [ shoes ],Guinea-Bissau,
Country/Region Of Origin - [ shoes ],Guyana,
Country/Region Of Origin - [ shoes ],Haiti,
Country/Region Of Origin - [ shoes ],Heard and McDonald Islands,
Country/Region Of Origin - [ shoes ],Holy See (Vatican City),
Country/Region Of Origin - [ shoes ],Honduras,
Country/Region Of Origin - [ shoes ],Hong Kong,
Country/Region Of Origin - [ shoes ],Hungary,
Country/Region Of Origin - [ shoes ],Iceland,
Country/Region Of Origin - [ shoes ],Indonesia,
Country/Region Of Origin - [ shoes ],Iran,
Country/Region Of Origin - [ shoes ],Iraq,
Country/Region Of Origin - [ shoes ],Ireland,
Country/Region Of Origin - [ shoes ],Isle of Man,
Country/Region Of Origin - [ shoes ],Israel,
Country/Region Of Origin - [ shoes ],Italy,
Country/Region Of Origin - [ shoes ],Ivory Coast,
Country/Region Of Origin - [ shoes ],Jamaica,
Country/Region Of Origin - [ shoes ],Japan,
Country/Region Of Origin - [ shoes ],Jersey,
Country/Region Of Origin - [ shoes ],Jordan,
Country/Region Of Origin - [ shoes ],Kazakhstan,
Country/Region Of Origin - [ shoes ],Kenya,
Country/Region Of Origin - [ shoes ],Kiribati,
Country/Region Of Origin - [ shoes ],Kuwait,
Country/Region Of Origin - [ shoes ],Kyrgyzstan,
Country/Region Of Origin - [ shoes ],Laos,
Country/Region Of Origin - [ shoes ],Latvia,
Country/Region Of Origin - [ shoes ],Lebanon,
Country/Region Of Origin - [ shoes ],Lesotho,
Country/Region Of Origin - [ shoes ],Liberia,
Country/Region Of Origin - [ shoes ],Libya,
Country/Region Of Origin - [ shoes ],Liechtenstein,
Country/Region Of Origin - [ shoes ],Lithuania,
